date,market_type,contracts
2024-01-17,Other,8632
2024-01-18,Other,2268
2024-01-19,Other,3294
2024-01-20,Other,1088
2024-01-21,Other,1717
2024-01-22,Other,6438
2024-01-23,Other,1896
2024-01-24,Other,12541
2024-01-25,Other,2442
2024-01-26,Other,4872
2024-01-27,Other,87
2024-11-20,Other,7270
2024-11-21,Other,142691
2024-11-22,Other,25084
2024-11-23,Other,1424
2024-11-24,Other,4236
2024-11-25,Other,1075
2024-11-26,Other,945
2024-11-27,Other,5520
2024-11-28,Other,3186
2024-11-29,Other,7816
2024-11-30,Other,352
2024-12-01,Other,807
2024-12-02,Other,668
2024-12-03,Other,8570
2024-12-04,Other,7961
2024-12-05,Other,7236
2024-12-06,Other,2340
2024-12-07,Other,3264
2024-12-08,Other,9187
2024-12-09,Other,1745
2024-12-10,Other,21001
2024-12-11,Other,10799
2024-12-12,Other,6782
2024-12-13,Other,5470
2024-12-14,Other,3792
2024-12-15,Other,5940
2024-12-16,Other,2545
2024-12-17,Other,7853
2024-12-18,Other,2875
2024-12-19,Other,4112
2024-12-20,Other,1950
2024-12-21,Other,4164
2024-12-22,Other,2054
2024-12-23,Other,3642
2024-12-24,Other,3196
2024-12-25,Other,1237
2024-12-26,Other,4400
2024-12-27,Other,5007
2024-12-28,Other,5603
2024-12-29,Other,6679
2024-12-30,Other,5712
2024-12-31,Other,5434
2025-01-01,Other,4713
2025-01-02,Other,1305
2025-01-03,Other,9091
2025-01-04,Other,7058
2025-01-05,Other,16519
2025-01-06,Other,17619
2025-01-07,Other,22064
2025-01-08,Other,17142
2025-01-09,Other,23255
2025-01-10,Other,24968
2025-01-11,Other,33599
2025-01-12,Other,44812
2025-01-13,Other,50219
2025-01-14,Other,44872
2025-01-15,Other,36080
2025-01-16,Other,34367
2025-01-17,Other,20440
2025-01-18,Other,28110
2025-01-19,Other,28222
2025-01-20,Other,101103
2025-01-21,Other,43938
2025-01-22,Other,65168
2025-01-23,Futures/Award,459423
2025-01-23,Moneyline,231473
2025-01-23,Other,116664
2025-01-24,Futures/Award,325611
2025-01-24,Moneyline,270528
2025-01-24,Other,100804
2025-01-25,Futures/Award,190040
2025-01-25,Moneyline,275102
2025-01-25,Other,15574
2025-01-26,Futures/Award,638975
2025-01-26,Moneyline,3229915
2025-01-26,Other,15655
2025-01-27,Futures/Award,416751
2025-01-27,Other,21124
2025-01-28,Futures/Award,312237
2025-01-28,Other,34582
2025-01-29,Futures/Award,248175
2025-01-29,Other,28604
2025-01-30,Futures/Award,104100
2025-01-30,Other,11354
2025-01-31,Futures/Award,107656
2025-01-31,Other,22716
2025-02-01,Futures/Award,277658
2025-02-01,Other,13392
2025-02-02,Futures/Award,331984
2025-02-02,Other,7722
2025-02-03,Futures/Award,420496
2025-02-03,Other,31811
2025-02-04,Futures/Award,398525
2025-02-04,Other,10226
2025-02-05,Futures/Award,464652
2025-02-05,Other,7057
2025-02-06,Futures/Award,686187
2025-02-06,Other,5350
2025-02-07,Futures/Award,953404
2025-02-07,Other,7727
2025-02-08,Futures/Award,1320394
2025-02-08,Other,78160
2025-02-09,Futures/Award,21608717
2025-02-09,Other,51083
2025-02-10,Futures/Award,304283
2025-02-10,Other,23916
2025-02-11,Futures/Award,291411
2025-02-11,Other,20287
2025-02-12,Futures/Award,309172
2025-02-12,Motorsport,425
2025-02-12,Other,32299
2025-02-13,Futures/Award,468356
2025-02-13,Motorsport,2909
2025-02-13,Other,50192
2025-02-14,Futures/Award,437517
2025-02-14,Motorsport,1068
2025-02-14,Other,21500
2025-02-15,Futures/Award,593623
2025-02-15,Motorsport,1927
2025-02-15,Other,33315
2025-02-16,Futures/Award,897482
2025-02-16,Motorsport,3027
2025-02-16,Other,407159
2025-02-17,Futures/Award,271128
2025-02-17,Motorsport,475
2025-02-17,Other,23939
2025-02-18,Futures/Award,384240
2025-02-18,Motorsport,490
2025-02-18,Other,80903
2025-02-19,Futures/Award,441045
2025-02-19,Motorsport,2888
2025-02-19,Other,162557
2025-02-20,Futures/Award,1059048
2025-02-20,Motorsport,1974
2025-02-20,Other,45682
2025-02-21,Futures/Award,515240
2025-02-21,Motorsport,1089
2025-02-21,Other,58224
2025-02-22,Futures/Award,560881
2025-02-22,Motorsport,550
2025-02-22,Other,16844
2025-02-23,Futures/Award,492429
2025-02-23,Motorsport,14
2025-02-23,Other,39935
2025-02-24,Futures/Award,392511
2025-02-24,Motorsport,396
2025-02-24,Other,16813
2025-02-25,Futures/Award,382585
2025-02-25,Motorsport,733
2025-02-25,Other,46651
2025-02-26,Futures/Award,323185
2025-02-26,Moneyline,947
2025-02-26,Motorsport,83
2025-02-26,Other,60363
2025-02-27,Futures/Award,383426
2025-02-27,Moneyline,954
2025-02-27,Motorsport,2952
2025-02-27,Other,33729
2025-02-28,Futures/Award,535272
2025-02-28,Moneyline,1053
2025-02-28,Motorsport,1074
2025-02-28,Other,26520
2025-03-01,Futures/Award,407097
2025-03-01,Moneyline,7281
2025-03-01,Motorsport,1945
2025-03-01,Other,23673
2025-03-02,Futures/Award,466053
2025-03-02,Moneyline,6813
2025-03-02,Motorsport,442
2025-03-02,Other,41052
2025-03-03,Futures/Award,263767
2025-03-03,Moneyline,21373
2025-03-03,Motorsport,8940
2025-03-03,Other,42136
2025-03-04,Futures/Award,247369
2025-03-04,Moneyline,44448
2025-03-04,Motorsport,1766
2025-03-04,Other,68432
2025-03-05,Futures/Award,1216071
2025-03-05,Moneyline,62075
2025-03-05,Motorsport,10501
