date,parlay_class,n_legs_bucket,sportmix,contracts,unmapped_flag
2025-09-04,unclassified (pending legs),unknown,unknown,11128,1
2025-09-05,unclassified (pending legs),unknown,unknown,21400,1
2025-09-17,multi-game (independent),2,all-sports,135,0
2025-09-17,multi-game (independent),3,all-sports,59,0
2025-09-17,multi-game (independent),4,all-sports,35,0
2025-09-18,multi-game (independent),2,all-sports,2114,0
2025-09-19,multi-game (independent),2,all-sports,15,0
2025-09-19,multi-game (independent),3,all-sports,44,0
2025-09-19,multi-game (independent),8+,all-sports,1,0
2025-09-20,multi-game (independent),2,all-sports,2772,0
2025-09-20,multi-game (independent),3,all-sports,1617,0
2025-09-20,multi-game (independent),4,all-sports,2612,0
2025-09-20,multi-game (independent),5-7,all-sports,10744,0
2025-09-20,multi-game (independent),8+,all-sports,10834,0
2025-09-21,multi-game (independent),2,all-sports,11815,0
2025-09-21,multi-game (independent),3,all-sports,2426,0
2025-09-21,multi-game (independent),4,all-sports,2507,0
2025-09-21,multi-game (independent),5-7,all-sports,4007,0
2025-09-21,multi-game (independent),8+,all-sports,4190,0
2025-09-23,multi-game (independent),4,all-sports,51,0
2025-09-23,multi-game (independent),5-7,all-sports,95,0
2025-09-24,multi-game (independent),2,all-sports,152,0
2025-09-24,multi-game (independent),3,all-sports,378,0
2025-09-24,multi-game (independent),4,all-sports,206,0
2025-09-24,multi-game (independent),5-7,all-sports,1239,0
2025-09-24,multi-game (independent),8+,all-sports,2311,0
2025-09-25,multi-game (independent),2,all-sports,628,0
2025-09-25,multi-game (independent),3,all-sports,2168,0
2025-09-25,multi-game (independent),4,all-sports,1833,0
2025-09-25,multi-game (independent),5-7,all-sports,9159,0
2025-09-25,multi-game (independent),8+,all-sports,8011,0
2025-09-26,multi-game (independent),2,all-sports,1465,0
2025-09-26,multi-game (independent),3,all-sports,2711,0
2025-09-26,multi-game (independent),4,all-sports,2937,0
2025-09-26,multi-game (independent),5-7,all-sports,7286,0
2025-09-26,multi-game (independent),8+,all-sports,5783,0
2025-09-27,multi-game (independent),2,all-sports,1805,0
2025-09-27,multi-game (independent),3,all-sports,1491,0
2025-09-27,multi-game (independent),4,all-sports,4439,0
2025-09-27,multi-game (independent),5-7,all-sports,12427,0
2025-09-27,multi-game (independent),8+,all-sports,12192,0
