month,sportmix,n_parlays,total_vol,taker_stake
2025-09,all-sports,1752,560933.0,84184.77
2025-10,all-sports,175876,79340556.0,6950724.33
2025-11,all-nonsports,587,72216.0,39165.45
2025-11,all-sports,438107,240147684.0,24553176.13
2025-12,all-nonsports,3,30.0,14.79
2025-12,all-sports,942850,674882200.0,63102206.58
2026-01,all-nonsports,165,243027.0,24064.14
2026-01,all-sports,1775997,1301048298.0,127674389.56
2026-02,all-nonsports,847,101515.0,29904.17
2026-02,all-sports,2094612,1293628507.0,143965706.78
2026-03,all-nonsports,7266,1871528.0,371470.14
2026-03,all-sports,3324894,2137452295.0,238291903.02
2026-03,mixed,1636,662429.0,69183.23
2026-04,all-nonsports,60,3013.0,719.07
2026-04,all-sports,4087587,3256986993.0,292040771.29
2026-04,mixed,8996,6979423.0,646191.41
2026-05,all-nonsports,5384,888919.0,130788.53
2026-05,all-sports,4889755,4603248785.0,353065285.47
2026-05,mixed,9622,5651607.0,443560.83
2026-06,all-nonsports,20585,3368164.0,848516.54
2026-06,all-sports,8232954,11197746507.0,767060773.23
2026-06,mixed,12553,13836202.0,439178.87
2026-07,all-nonsports,9978,1893909.0,544203.58
2026-07,all-sports,1814796,2278981162.0,198353135.62
2026-07,mixed,6885,8310523.0,289873.8
