date,category,contracts,trade_count,listed_markets,traded_markets,market_report_volume,open_interest
2026-06-11,Baseball,1,1,184,1,1,0
2026-06-11,Golf,0,0,0,0,0,0
2026-06-11,Other,0,0,0,0,0,0
2026-06-12,Baseball,0,0,529,0,0,0
2026-06-12,Golf,0,0,0,0,0,0
2026-06-12,Other,0,0,0,0,0,0
2026-06-13,Baseball,0,0,874,0,0,0
2026-06-13,Golf,0,0,0,0,0,0
2026-06-13,Other,0,0,0,0,0,0
2026-06-14,Baseball,0,0,1219,0,0,0
2026-06-14,Golf,0,0,0,0,0,0
2026-06-14,Other,0,0,0,0,0,0
2026-06-15,Baseball,0,0,1449,0,0,0
2026-06-15,Golf,0,0,0,0,0,0
2026-06-15,Other,0,0,0,0,0,0
2026-06-16,Baseball,0,0,2373,0,0,0
2026-06-16,Golf,0,0,0,0,0,0
2026-06-16,Other,0,0,0,0,0,0
2026-06-17,Baseball,50,1,3168,0,0,0
2026-06-17,Golf,0,0,86,0,0,0
2026-06-17,Other,0,0,0,0,0,0
2026-06-18,Baseball,25,1,4088,1,25,0
2026-06-18,Golf,0,0,1700,0,0,0
2026-06-18,Other,0,0,0,0,0,0
2026-06-19,Baseball,0,0,5122,0,0,0
2026-06-19,Golf,0,0,1700,0,0,0
2026-06-19,Other,0,0,0,0,0,0
2026-06-20,Baseball,0,0,6235,0,0,0
2026-06-20,Golf,0,0,1700,0,0,0
2026-06-20,Other,0,0,0,0,0,0
2026-06-21,Baseball,0,0,6999,0,0,0
2026-06-21,Golf,0,0,1771,0,0,0
2026-06-21,Other,0,0,0,0,0,0
2026-06-22,Baseball,0,0,8073,0,0,0
2026-06-22,Golf,0,0,2055,0,0,0
2026-06-22,Other,0,0,0,0,0,0
2026-06-23,Baseball,0,0,9206,0,0,0
2026-06-23,Golf,0,0,2055,0,0,0
2026-06-23,Other,0,0,0,0,0,0
2026-06-24,Baseball,0,0,10176,0,0,0
2026-06-24,Golf,0,0,2055,0,0,0
2026-06-24,Other,0,0,0,0,0,0
2026-06-25,Baseball,381,23,11064,10,381,5
2026-06-25,Golf,0,0,2055,0,0,0
2026-06-25,Other,0,0,0,0,0,0
2026-06-26,Baseball,988,52,12294,16,988,0
2026-06-26,Golf,0,0,2055,0,0,0
2026-06-26,Other,0,0,0,0,0,0
2026-06-27,Baseball,3583,45,13476,17,3583,88
2026-06-27,Golf,0,0,2055,0,0,0
2026-06-27,Other,0,0,0,0,0,0
2026-06-28,Baseball,0,0,14224,0,0,88
2026-06-28,Golf,0,0,2055,0,0,0
2026-06-28,Other,0,0,0,0,0,0
2026-06-29,Baseball,3274,43,15298,16,3274,88
2026-06-29,Golf,0,0,2055,0,0,0
2026-06-29,Other,0,0,0,0,0,0
2026-06-30,Baseball,5795,108,15121,33,5795,217
2026-06-30,Golf,0,0,2055,0,0,0
2026-06-30,Other,0,0,0,0,0,0
2026-07-01,Baseball,46038,446,14985,93,46038,416
2026-07-01,Golf,0,0,2055,0,0,0
2026-07-01,Other,0,0,0,0,0,0
2026-07-02,Baseball,106752,948,14822,123,106752,7558
2026-07-02,Golf,0,0,2052,0,0,0
2026-07-02,Other,0,0,0,0,0,0
2026-07-03,Baseball,136831,1234,15123,206,136831,565
2026-07-03,Golf,0,0,2052,0,0,0
2026-07-03,Other,0,0,0,0,0,0
2026-07-04,Baseball,243334,2359,15260,279,243334,862
2026-07-04,Golf,0,0,2052,0,0,0
2026-07-04,Other,0,0,0,0,0,0
2026-07-05,Baseball,263126,2400,14699,273,263126,1519
2026-07-05,Golf,0,0,2052,0,0,0
2026-07-05,Other,0,0,0,0,0,0
2026-07-06,Baseball,98526,890,14495,109,98526,2062
2026-07-06,Golf,0,0,2052,0,0,0
2026-07-06,Other,0,0,0,0,0,0
2026-07-07,Baseball,154889,1322,15282,236,154896,2143
2026-07-07,Golf,0,0,559,0,0,0
2026-07-07,Other,0,0,0,0,0,0
2026-07-08,Baseball,226735,1815,15138,249,226735,2461
2026-07-08,Golf,0,0,559,0,0,0
2026-07-08,Other,0,0,38,0,0,0
2026-07-09,Baseball,179593,1550,14830,188,179593,4320
2026-07-09,Golf,0,0,559,0,0,0
2026-07-09,Other,1013,15,63,10,1013,1013
2026-07-10,Baseball,180165,1396,14934,178,180165,10510
2026-07-10,Golf,0,0,559,0,0,0
2026-07-10,Other,3437,49,63,21,3437,4022
