date,symbol,category,market_type,status,open_interest,trade_volume,high_price,low_price,last_price,maturity_datetime
2026-06-11,MLB-WIN-IT5-0145AO8FL8SF37G-NYTS000,Baseball,Moneyline,Settled,0,1,0.5,0.5,0.5,07/11/26 11:42 AM EDT
2026-06-18,MLB-WIN-IT5-01DU6SUHTMPV4CO-BOOX000,Baseball,Moneyline,Settled,0,25,0.51,0.51,0,07/18/26 08:15 AM EDT
2026-06-25,MLB-WIN-IT5-00NAK8EIPI28BEG-CHBS000,Baseball,Moneyline,Settled,0,352,0.55,0.43,0.5,07/25/26 08:08 AM EDT
2026-06-25,MLB-WIN-IT5-00NAK8EIPI28BEG-NYTS000,Baseball,Moneyline,Settled,0,8,0.43,0.42,0.5,07/25/26 08:08 AM EDT
2026-06-25,MLB-WIN-IT5-00NAK8BTPI28BQ0-ARKS000,Baseball,Moneyline,Open,4,6,0.49,0.4,0.46,07/25/26 08:08 AM EDT
2026-06-25,MLB-WIN-IT5-00NCQCGQPH044G8-HOOS000,Baseball,Moneyline,Settled,0,4,0.44,0.41,0.5,07/25/26 08:07 AM EDT
2026-06-25,MLB-WIN-IT5-00NCQCMIPH045U8-TOYS000,Baseball,Moneyline,Settled,0,3,0.61,0.41,0,07/25/26 08:07 AM EDT
2026-06-25,MLB-WIN-IT5-00NALBR9PI22J1G-NYES000,Baseball,Moneyline,Settled,0,2,0.64,0.55,0,07/25/26 08:07 AM EDT
2026-06-25,MLB-WIN-IT5-00NCQCGQPH044G8-DERS000,Baseball,Moneyline,Settled,0,2,0.58,0.52,0.5,07/25/26 08:07 AM EDT
2026-06-25,MLB-WIN-IT5-00NCQCMIPH045U8-TERS000,Baseball,Moneyline,Settled,0,2,0.37,0.37,1,07/25/26 08:07 AM EDT
2026-06-25,MLB-WIN-IT5-00NAK8BTPI28BQ0-STLS000,Baseball,Moneyline,Open,1,1,0.52,0.52,0.52,07/25/26 08:08 AM EDT
2026-06-25,MLB-WIN-IT5-00NCQCMQPH045HG-PHES000,Baseball,Moneyline,Settled,0,1,0.58,0.58,0,07/25/26 08:07 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDVFF48U54G-HOOS000,Baseball,Moneyline,Settled,0,210,0.51,0.4,0,07/26/26 08:08 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJH8KF48QR20-CHBS000,Baseball,Moneyline,Settled,0,184,0.32,0.27,1,07/26/26 08:55 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDOKF48U548-PIES000,Baseball,Moneyline,Settled,0,160,0.67,0.13,0,07/26/26 08:08 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDR2F48U4RO-WALS000,Baseball,Moneyline,Settled,0,149,0.52,0.49,0,07/26/26 08:08 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDVFF48U54G-DERS000,Baseball,Moneyline,Settled,0,75,0.99,0.44,1,07/26/26 08:08 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJH6FF48PSI8-SFTS000,Baseball,Moneyline,Settled,0,57,0.51,0.43,0,07/26/26 10:00 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDURF48U558-TERS000,Baseball,Moneyline,Settled,0,43,0.55,0.55,1,07/25/26 07:41 PM EDT
2026-06-26,MLB-WIN-IT5-00UCJH8KF48QR20-MIRS000,Baseball,Moneyline,Settled,0,32,0.73,0.73,0,07/26/26 08:55 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJHB6F48QQP8-MINS001,Baseball,Moneyline,Settled,0,26,0.54,0.54,0.5,07/26/26 08:55 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJH45F48PS5G-LARS000,Baseball,Moneyline,Settled,0,12,0.59,0.56,0,07/26/26 08:55 AM EDT
2026-06-26,MLB-TRUNS-IT5-00UCJH45F48PS5G-GTE-P00065,Baseball,Total,Settled,0,10,0.27,0.25,0,07/26/26 08:55 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDTQF48U4Q0-NYES000,Baseball,Moneyline,Settled,0,9,0.51,0.51,0,07/26/26 08:40 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJH0PF48PSUO-LALS000,Baseball,Moneyline,Settled,0,9,0.49,0.49,0,07/26/26 09:07 AM EDT
2026-06-26,MLB-WIN-IT5-00UCJH6FF48PSI8-ATES000,Baseball,Moneyline,Settled,0,9,0.53,0.53,1,07/26/26 10:00 AM EDT
2026-06-26,MLB-WIN-IT5-00UCIDURF48U558-TOYS000,Baseball,Moneyline,Settled,0,2,0.33,0.33,0,07/25/26 07:41 PM EDT
2026-06-26,MLB-WIN-IT5-00UCIDR2F48U4RO-BAES000,Baseball,Moneyline,Settled,0,1,0.52,0.52,1,07/26/26 08:08 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFIB4QTFQQO-NYES000,Baseball,Moneyline,Settled,0,1776,0.55,0.09,0,07/27/26 07:57 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFLF4QTFQTO-CIDS000,Baseball,Moneyline,Settled,0,554,0.55,0.55,0.5,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFIU4QTFQP0-DERS000,Baseball,Moneyline,Settled,0,406,0.57,0.56,1,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMSI104QT4TJO-CHOX000,Baseball,Moneyline,Settled,0,197,0.54,0.54,0.5,07/27/26 08:23 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFN94QTFQS0-TERS000,Baseball,Moneyline,Settled,0,138,0.36,0.29,1,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFN94QTFQS0-TOYS000,Baseball,Moneyline,Settled,0,116,0.41,0.41,0,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFIU4QTFQP0-HOOS000,Baseball,Moneyline,Settled,0,112,0.46,0.16,0,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMS91G4QTB9C8-WALS000,Baseball,Moneyline,Settled,0,71,0.38,0.38,1,07/27/26 08:34 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFIB4QTFQQO-BOOX000,Baseball,Moneyline,Settled,0,48,0.49,0.49,1,07/27/26 07:57 AM EDT
2026-06-27,MLB-WIN-IT5-03VMSI0N4QT4TA0-ARKS000,Baseball,Moneyline,Settled,0,46,0.32,0.32,0,07/27/26 08:34 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTFLF4QTFQTO-PIES000,Baseball,Moneyline,Settled,0,38,0.24,0.24,0.5,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMTJMK4QT51A8-SDES000,Baseball,Moneyline,Settled,0,29,0.33,0.33,0.5,07/27/26 08:26 AM EDT
2026-06-27,MLB-WIN-IT5-03VMSA9Q4QTCG0G-LALS000,Baseball,Moneyline,Settled,0,18,0.52,0.52,1,07/27/26 08:07 AM EDT
2026-06-27,MLB-WIN-IT5-03VMS96H4QTB8P8-SERS000,Baseball,Moneyline,Settled,0,16,0.6,0.6,0,07/27/26 08:35 AM EDT
2026-06-27,MLB-WIN-IT5-03VMSI1J4QT4T70-PHES000,Baseball,Moneyline,Settled,0,10,0.46,0.46,1,07/27/26 08:23 AM EDT
2026-06-27,MLB-WIN-IT5-03VMS97R4QTB8C8-MIRS000,Baseball,Moneyline,Settled,0,7,0.61,0.61,0.5,07/27/26 08:35 AM EDT
2026-06-27,MLB-WIN-IT5-03VMSI104QT4TJO-KCLS000,Baseball,Moneyline,Settled,0,1,0.39,0.39,0.5,07/27/26 08:23 AM EDT
2026-06-27,MLB-WIN-IT5-00UCIDVFF48U54G-HOOS000,Baseball,Moneyline,Open,88,0,,,0.39,07/26/26 08:08 AM EDT
2026-06-28,MLB-WIN-IT5-00UCIDVFF48U54G-HOOS000,Baseball,Moneyline,Open,88,0,,,0.39,07/26/26 08:08 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJIE4O9CT7G-LARS000,Baseball,Moneyline,Settled,0,2139,0.85,0.24,1,07/29/26 07:48 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJNR4O9CSRO-SFTS000,Baseball,Moneyline,Settled,0,276,0.46,0.26,0,07/29/26 07:48 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJIE4O9CT7G-ATCS000,Baseball,Moneyline,Settled,0,234,0.54,0.15,0,07/29/26 07:48 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJGS4O9CSQ8-MIRS000,Baseball,Moneyline,Settled,0,179,0.38,0.3,0,07/29/26 07:47 AM EDT
2026-06-29,MLB-WIN-IT5-03VUNKFG4O949KG-NYES000,Baseball,Moneyline,Settled,0,167,0.12,0.12,0,07/29/26 07:31 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJHS4O9CTEG-MINS001,Baseball,Moneyline,Settled,0,58,0.53,0.09,1,07/29/26 08:01 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJNR4O9CSRO-ARKS000,Baseball,Moneyline,Settled,0,54,0.57,0.56,1,07/29/26 07:48 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJKC4O9CT90-HOOS000,Baseball,Moneyline,Settled,0,44,0.57,0.57,0,07/29/26 07:47 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJJN4O9CSI8-CHBS000,Baseball,Moneyline,Settled,0,42,0.61,0.61,0.5,07/29/26 08:41 AM EDT
2026-06-29,MLB-WIN-IT5-03VUNK8V4O949P0-PIES000,Baseball,Moneyline,Settled,0,29,0.06,0.06,1,07/29/26 07:31 AM EDT
2026-06-29,MLB-WIN-IT5-03VUNKEF4O948M8-NYTS000,Baseball,Moneyline,Settled,0,25,0.23,0.18,0,07/29/26 07:31 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJKP4O9CTT8-SERS000,Baseball,Moneyline,Settled,0,20,0.65,0.34,1,07/29/26 07:48 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJGS4O9CSQ8-CIDS000,Baseball,Moneyline,Settled,0,3,0.61,0.58,1,07/29/26 07:47 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJJN4O9CSI8-SDES000,Baseball,Moneyline,Settled,0,2,0.36,0.34,0.5,07/29/26 08:41 AM EDT
2026-06-29,MLB-WIN-IT5-03VUMJKS4O9CT4G-TERS000,Baseball,Moneyline,Settled,0,1,0.37,0.37,0,07/29/26 08:01 AM EDT
2026-06-29,MLB-WIN-IT5-03VUNKEF4O948M8-TOYS000,Baseball,Moneyline,Settled,0,1,0.83,0.83,1,07/29/26 07:31 AM EDT
2026-06-29,MLB-WIN-IT5-00UCIDVFF48U54G-HOOS000,Baseball,Moneyline,Open,88,0,,,0.39,07/26/26 08:08 AM EDT
2026-06-30,MLB-WIN-IT5-01479320L86CIPO-NYES000,Baseball,Moneyline,Settled,0,2402,0.54,0.07,0,07/30/26 07:26 AM EDT
2026-06-30,MLB-WIN-IT5-01478EJHL865OCO-LARS000,Baseball,Moneyline,Settled,0,1001,0.94,0.53,1,07/30/26 08:27 AM EDT
2026-06-30,MLB-WIN-IT5-01478EI6L865OR8-MINS000,Baseball,Moneyline,Settled,0,356,0.57,0.55,0,07/30/26 07:27 AM EDT
2026-06-30,MLB-WIN-IT5-0147931ML86CJ30-STLS000,Baseball,Moneyline,Settled,0,260,0.48,0.33,1,07/30/26 08:12 AM EDT
2026-06-30,MLB-WIN-IT5-0147936NL86CIJ8-BOOX000,Baseball,Moneyline,Settled,0,170,0.63,0.53,0.5,07/30/26 07:27 AM EDT
2026-06-30,MLB-WIN-IT5-01478EHQL865O58-COES000,Baseball,Moneyline,Settled,0,165,0.46,0.37,0,07/30/26 08:27 AM EDT
2026-06-30,MLB-WIN-IT5-01478ENHL865PDG-SFTS000,Baseball,Moneyline,Settled,0,139,0.53,0.52,0,07/30/26 10:09 AM EDT
2026-06-30,MLB-WIN-IT5-014799OKL86420G-CLNS000,Baseball,Moneyline,Settled,0,139,0.85,0.46,0.5,07/30/26 07:25 AM EDT
2026-06-30,MLB-WIN-IT5-014799OJL8642C0-BAES000,Baseball,Moneyline,Settled,0,125,0.58,0.25,0,07/30/26 07:25 AM EDT
2026-06-30,MLB-WIN-IT5-014799OJL8642C0-CHOX000,Baseball,Moneyline,Settled,0,115,0.54,0.45,1,07/30/26 07:25 AM EDT
2026-06-30,MLB-WIN-IT5-0147936NL86CIJ8-WALS000,Baseball,Moneyline,Settled,0,96,0.5,0.5,0.5,07/30/26 07:27 AM EDT
2026-06-30,NPB-WIN-FG-00CBO4TEKS1KO30-HORS000,Baseball,Moneyline,Open,90,90,0.64,0.64,0.64,07/30/26 12:20 PM EDT
2026-06-30,MLB-WIN-IT5-0147931ML86CJ30-ATES000,Baseball,Moneyline,Settled,0,87,0.55,0.02,0,07/30/26 08:12 AM EDT
