date,category,contracts
2024-12-23,Baseball,0
2024-12-23,Basketball (college),0
2024-12-23,Basketball (pro),0
2024-12-23,Combat sports,0
2024-12-23,Companies,0
2024-12-23,Crypto,0
2024-12-23,Football,3008
2024-12-23,Golf,0
2024-12-23,Hockey,0
2024-12-23,Motorsport,0
2024-12-23,Other,0
2024-12-23,Parlays,0
2024-12-23,Politics,0
2024-12-23,Rugby,0
2024-12-23,Soccer,0
2024-12-23,Tennis,0
2024-12-24,Baseball,0
2024-12-24,Basketball (college),0
2024-12-24,Basketball (pro),0
2024-12-24,Combat sports,0
2024-12-24,Companies,0
2024-12-24,Crypto,0
2024-12-24,Football,7022
2024-12-24,Golf,0
2024-12-24,Hockey,0
2024-12-24,Motorsport,0
2024-12-24,Other,0
2024-12-24,Parlays,0
2024-12-24,Politics,0
2024-12-24,Rugby,0
2024-12-24,Soccer,0
2024-12-24,Tennis,0
2024-12-25,Baseball,0
2024-12-25,Basketball (college),0
2024-12-25,Basketball (pro),0
2024-12-25,Combat sports,0
2024-12-25,Companies,0
2024-12-25,Crypto,0
2024-12-25,Football,5774
2024-12-25,Golf,0
2024-12-25,Hockey,0
2024-12-25,Motorsport,0
2024-12-25,Other,0
2024-12-25,Parlays,0
2024-12-25,Politics,0
2024-12-25,Rugby,0
2024-12-25,Soccer,0
2024-12-25,Tennis,0
2024-12-26,Baseball,0
2024-12-26,Basketball (college),0
2024-12-26,Basketball (pro),0
2024-12-26,Combat sports,0
2024-12-26,Companies,0
2024-12-26,Crypto,0
2024-12-26,Football,4876
2024-12-26,Golf,0
2024-12-26,Hockey,0
2024-12-26,Motorsport,0
2024-12-26,Other,0
2024-12-26,Parlays,0
2024-12-26,Politics,0
2024-12-26,Rugby,0
2024-12-26,Soccer,0
2024-12-26,Tennis,0
2024-12-27,Baseball,0
2024-12-27,Basketball (college),0
2024-12-27,Basketball (pro),0
2024-12-27,Combat sports,0
2024-12-27,Companies,0
2024-12-27,Crypto,0
2024-12-27,Football,5194
2024-12-27,Golf,0
2024-12-27,Hockey,0
2024-12-27,Motorsport,0
2024-12-27,Other,0
2024-12-27,Parlays,0
2024-12-27,Politics,0
2024-12-27,Rugby,0
2024-12-27,Soccer,0
2024-12-27,Tennis,0
2024-12-30,Baseball,0
2024-12-30,Basketball (college),0
2024-12-30,Basketball (pro),0
2024-12-30,Combat sports,0
2024-12-30,Companies,0
2024-12-30,Crypto,0
2024-12-30,Football,3688
2024-12-30,Golf,0
2024-12-30,Hockey,0
2024-12-30,Motorsport,0
2024-12-30,Other,0
2024-12-30,Parlays,0
2024-12-30,Politics,0
2024-12-30,Rugby,0
2024-12-30,Soccer,0
2024-12-30,Tennis,0
2024-12-31,Baseball,0
2024-12-31,Basketball (college),0
2024-12-31,Basketball (pro),0
2024-12-31,Combat sports,0
2024-12-31,Companies,0
2024-12-31,Crypto,0
2024-12-31,Football,3198
2024-12-31,Golf,0
2024-12-31,Hockey,0
2024-12-31,Motorsport,0
2024-12-31,Other,0
2024-12-31,Parlays,0
2024-12-31,Politics,0
2024-12-31,Rugby,0
2024-12-31,Soccer,0
2024-12-31,Tennis,0
2025-01-01,Baseball,0
2025-01-01,Basketball (college),0
2025-01-01,Basketball (pro),0
2025-01-01,Combat sports,0
2025-01-01,Companies,0
2025-01-01,Crypto,0
2025-01-01,Football,3160
2025-01-01,Golf,0
2025-01-01,Hockey,0
2025-01-01,Motorsport,0
2025-01-01,Other,0
2025-01-01,Parlays,0
2025-01-01,Politics,0
2025-01-01,Rugby,0
2025-01-01,Soccer,0
2025-01-01,Tennis,0
2025-01-02,Baseball,0
2025-01-02,Basketball (college),0
2025-01-02,Basketball (pro),0
2025-01-02,Combat sports,0
2025-01-02,Companies,0
2025-01-02,Crypto,0
2025-01-02,Football,7836
2025-01-02,Golf,0
2025-01-02,Hockey,0
2025-01-02,Motorsport,0
2025-01-02,Other,0
2025-01-02,Parlays,0
2025-01-02,Politics,0
2025-01-02,Rugby,0
2025-01-02,Soccer,0
2025-01-02,Tennis,0
2025-01-03,Baseball,0
2025-01-03,Basketball (college),0
2025-01-03,Basketball (pro),0
2025-01-03,Combat sports,0
2025-01-03,Companies,0
2025-01-03,Crypto,0
2025-01-03,Football,6080
2025-01-03,Golf,0
2025-01-03,Hockey,0
2025-01-03,Motorsport,0
2025-01-03,Other,0
2025-01-03,Parlays,0
2025-01-03,Politics,0
2025-01-03,Rugby,0
2025-01-03,Soccer,0
2025-01-03,Tennis,0
2025-01-06,Baseball,0
2025-01-06,Basketball (college),0
2025-01-06,Basketball (pro),0
2025-01-06,Combat sports,0
2025-01-06,Companies,0
2025-01-06,Crypto,0
2025-01-06,Football,6422
2025-01-06,Golf,0
2025-01-06,Hockey,0
2025-01-06,Motorsport,0
2025-01-06,Other,0
2025-01-06,Parlays,0
2025-01-06,Politics,0
2025-01-06,Rugby,0
2025-01-06,Soccer,0
2025-01-06,Tennis,0
2025-01-07,Baseball,0
2025-01-07,Basketball (college),0
2025-01-07,Basketball (pro),0
2025-01-07,Combat sports,0
2025-01-07,Companies,0
2025-01-07,Crypto,0
2025-01-07,Football,6324
2025-01-07,Golf,0
2025-01-07,Hockey,0
2025-01-07,Motorsport,0
2025-01-07,Other,0
2025-01-07,Parlays,0
2025-01-07,Politics,0
2025-01-07,Rugby,0
2025-01-07,Soccer,0
2025-01-07,Tennis,0
2025-01-08,Baseball,0
2025-01-08,Basketball (college),0
